,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-30,-29,-30,-25,-18,-1,-1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0
1,-24,-30,-37,-31,-19,-37,-1,0,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,0,2
2,-25,-31,-32,-31,-31,-7,-55,-1,-1,-1,-2,-1,-1,-2,-1,-2,-2,-1,-1,-2,-1,-1
3,-43,-31,-31,-37,-32,-18,-25,-1,-1,0,-1,0,-1,-2,0,-2,0,-2,-1,-2,0,-1
4,-54,-32,-24,-30,-31,-36,-6,-30,-1,-1,-2,-1,-2,-2,-1,-1,0,-2,-2,-2,-1,-1
5,-24,-43,-30,-24,-31,-36,-19,-24,-2,0,-2,0,-54,-1,-1,0,0,-1,-1,-1,0,0
6,-12,-43,-36,-24,-30,-31,-38,-24,-20,0,-3,0,0,0,-1,0,-1,-1,-1,-2,-1,-1
7,-24,-12,-37,-49,-37,-31,-38,-31,-24,0,-2,0,0,0,0,0,1,-1,-2,-1,0,0
8,-36,-8,-38,-1,-31,-32,-38,-32,-31,-36,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-1,-1
9,-36,-25,-43,-49,-13,-31,-37,-31,-31,-24,-1,-1,-2,-1,0,0,-1,-2,-1,-2,0,0
10,-36,-37,-42,-38,-13,-25,-37,-36,-31,-18,-49,-1,-1,-1,0,0,-1,-2,-1,-1,0,0
11,-37,-37,-25,-18,-31,-14,-25,-37,-37,-31,-13,-1,-2,-2,-1,-54,-1,-2,-1,-1,0,0
12,-36,-37,-13,-6,-37,-20,-26,-37,-38,-37,-7,-36,0,-1,0,-55,0,-2,-1,-1,0,0
13,-36,-37,-18,-7,-30,-48,-38,-32,-38,-37,-24,-37,-2,-1,0,-1,-1,-1,-2,-1,0,0
14,-37,-44,-19,-8,-31,-49,-38,-25,-38,-36,-37,-30,-49,-2,-1,-1,-54,-2,-2,-1,-1,0
15,-36,-43,-19,-13,-36,-19,-19,-31,-37,-36,-37,-24,-31,0,-1,0,-54,-1,-1,-1,0,0
16,-31,-37,-20,-12,-32,-14,-25,-31,-25,-36,-38,-25,-25,0,-2,0,-1,-2,-2,-2,-1,0
17,-24,-25,-14,-6,-25,-20,-37,-37,-1,-30,-37,-38,-30,-31,-2,-1,-1,-1,-2,-2,0,0
18,-18,-19,-7,-7,-20,-19,-32,-31,-20,-37,-37,-38,-30,-12,-1,-1,-2,-1,-55,-1,0,0
19,-25,-25,-14,-7,-26,-26,-14,-25,-55,-37,-36,-38,-31,-18,-2,-2,-2,-2,-56,-1,-1,-1
20,-31,-31,-19,-13,-31,-32,-20,-26,-43,-25,-31,-37,-37,-25,-55,-2,-1,-2,-1,-2,-1,0
21,-37,-37,-19,-13,-37,-38,-37,-25,0,-1,-25,-36,-37,-36,-19,-2,0,-2,0,-55,0,0
22,-36,-43,-19,-12,-36,-37,-43,-31,-7,-18,-31,-36,-37,-37,-13,-56,0,-2,1,-55,-1,-1
23,-37,-43,-19,-13,-38,-38,-36,-38,-32,-55,-44,-37,-37,-38,-19,-56,-2,-2,-1,-56,-1,-1
24,-36,-42,-18,-12,-37,-38,-37,-38,-37,-36,-19,-19,-37,-37,-30,-43,-1,-1,-1,-2,-1,0
25,-36,-42,-18,-12,-36,-43,-37,-43,-36,-6,0,-13,-36,-36,-36,-24,-37,0,0,-1,0,0
26,-36,-42,-18,-12,-36,-43,-37,-43,-36,-12,-19,-31,-37,-37,-37,-19,-24,0,0,-1,0,0
27,-36,-42,-18,-12,-36,-43,-36,-36,-36,-30,-49,-49,-31,-37,-36,-25,-24,-1,0,-1,0,0
