      0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18
  0  +0  -9  -1  -1  +0  +0  -1  -1  -1  -1  -1  +0  -1  +0  +0  -1  +0  -1  +0
  1  +0  -1  -1  -2  -1  -1  -1  -1  +0  -2  -1  +0  -1  +0  +0  -2  -1  -1  -1
  2  +0  +0  -1  -2  -2  +0  -1  -2  -1  -1  +0  -1  -2  -1  -1  -1  -1  -1  +0
  3  -1  -2  -1  -2  -2  -1  -2  -2  -2  -2  -1  -2  -2  -1  -2  -2  -1  -2  -1
  4  +0  -1  +0  -1  +0  -1  -1  -2  -1  -2  -1  -1  -2  +0  -2  -1  -1  -2  -1
  5  -1  +0  -1  -2  +0  +0  -2  -2  -1  -1  -1  -1  -1  -1  -1  -1  +0  -1  +0
  6  -1  -2  -2  -2  -1  -1  -2  -1  -1  -2  -1  -2  -2  -2  -2  -2  -1  -2  -1
  7  -1  -1  -2  -2  -1  +0  -1  -1  -1  -2  +0  -2  -1  -2  -2  -1  +0  -1  +0
  8  -1  -2  -1  -1  -2  -1  -1  -2  -1  -2  +0  -2  -1  -1  -1  -1  +0  -1  +0
  9  -1  -2  -2  -2  -1  -2  -2  -1  -1  -2  -1  -1  -2  -2  -2  -2  -1  -2  -1
 10  +0  -1  -1  -2  -1  -2  -2  +0  -1  -2  -1  +0  -1  -1  +0  -1  +0  -1  +0
 11  +0  +0  +0  -2  -1  -1  -1  +0  -1  -1  -1  +0  -1  -1  -1  -2  -1  -1  +0
 12  -1  -1  -2  -2  -1  -2  -2  -2  -1  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1
 13  -1  -1  -2  -1  -2  -1  -2  -1  -1  -1  -1  -1  -2  -2  -1  -2  -1  +0  +0
 14  +0  -2  -1  -1  -2  +0  -2  +0  -2  -2  -1  -1  -2  -1  +0  -1  -1  +0  +0
 15  -1  -2  -1  -2  -1  -1  -2  -1  -2  -2  -2  -2  -2  -1  -1  -2  -1  -1  -1
 16  +0  -1  -1  -2  -1  -1  -2  -2  -1  -2  -1  -2  -1  +0  -1  -1  -1  -2  +0
 17  -1  -1  -1  -2  -1  -2  -2  -2  -1  -1  +0  -1  -1  +0  -1  -2  -1  -1  +0
 18  +0  -1  +0  -1  -1  -1  -1  +0  -1  -1  +0  +0  -1  -1  +0  -1  +0  -1  +0
