      0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25
  0  +0  -1  +0  -1  -1  -1  +0  -1  -1  +0  -1  -1  -1  -1  +0  -1  -1  -1  -1  +0  -1  -1  -2  -2  -1  +0
  1  -1  -2  -2  -2  -1  -1  -2  -2  -1  -2  -2  -2  -1  -1  -1  -1  -1  -2  -1  -1  -2  -2  -3  -3  -3  +1
  2  +0  -1  -1  -2  -2  -2  -1  -2  -1  -1  -2  -2  -2  -1  -2  -2  -2  -2  -2  -1  -2  -2  -2  -2  -3  -1
  3  -1  -2  -2  -2  -2  -1  -1  -1  -2  -1  -1  -1  -2  -2  -1  -1  -1  -2  -2  -2  -2  -2  -2  -2  -2  -1
  4  -1  -2  -3  -2  -3  -3  -2  -2  +0  +0  -1  -2  -2  -1  -2  -2  -2  +0  -1  -2  -2  -2  -2  -2  -4  -1
  5  -1  -2  -3  -2  -2  -2  -2  -2  -1  -1  -1  -2  -1  -2  -1  -2  -2  -2  -2  -2  -2  -2  -2  -2  -3  -1
  6  -1  -2  -3  -3  -3  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -2  -1  -1  -2  -2  -3  -2  -2  -3  -3  -1
  7  -2  -2  -2  -2  -3  -2  -2  -2  -2  -3  -2  -2  -2  -1  -2  -2  -2  -1  -2  -1  -2  -2  -3  -2  -2  -2
  8  +0  -1  -3  -2  -2  -2  -2  -2  -2  -2  -2  -2  -3  -2  -2  -2  -2  -2  -2  -1  -2  -2  -2  -2  -3  -1
  9  -1  -2  -2  -2  -2  -2  -2  -2  -2  -3  -2  -2  -2  -2  -2  -2  -1  -2  -2  -1  -2  -2  -2  -2  -2  -1
 10  +0  -1  -1  -3  -2  -2  -2  -2  -2  -4  -2  -2  -2  -2  -1  -2  -2  -1  -2  -1  -2  -2  -2  -2  -3  -1
 11  -1  -1  -1  -1  -2  -2  -2  -2  -2  -2  -2  -3  -2  -2  -1  -2  -2  -1  -1  -1  -3  -3  -2  -3  -4  -1
 12  +0  -1  -1  -1  -1  -2  -3  -3  -3  -2  -2  -3  -2  -1  -1  -1  -1  -1  -1  -1  -2  -2  -3  -2  -3  -2
 13  -1  -1  -2  +0  -2  -2  -2  -2  -2  -2  -2  -2  -2  -1  -1  -2  -2  -2  -2  -1  -2  -2  -2  -2  -2  -1
 14  +0  -2  -2  +0  -1  -2  -2  -2  -2  -2  -2  -2  -2  -1  +0  -1  -2  -2  -2  -1  -3  -3  -2  -3  -3  -2
 15  -1  -2  -1  -2  -2  -2  -2  -2  -2  -2  -2  -2  -3  -2  -1  -2  -1  -2  -2  -2  -2  -2  -2  -2  -2  -1
 16  -1  -2  -3  -3  -2  -2  -2  -2  -2  -2  -2  -2  -1  -2  -1  -2  -1  -2  -2  -2  -2  -2  -2  -2  -2  -1
 17  -1  -2  -3  -3  -2  -2  -2  -3  -3  -2  -1  -2  -1  -2  -1  -2  -1  -2  -2  -2  -2  -2  -4  -2  -3  -2
 18  -1  -2  -3  -2  -3  -2  -2  -3  -2  -2  -2  -2  -1  -2  -1  -2  -2  -2  -2  -2  -2  -2  -3  -2  -3  -1
 19  -1  -3  -3  -2  -2  -2  -2  -3  -2  -1  -1  -1  -1  -2  -2  -2  -2  -2  -1  -1  -2  -3  -3  -2  -2  -2
 20  -1  -2  -2  -3  -2  -2  -2  -1  -1  -1  -2  -1  -1  -1  -1  -2  -2  -2  -2  -2  -2  -2  -3  -2  -2  -1
 21  -1  -2  -2  -2  -2  -2  -1  -1  -1  -1  -2  -1  -1  +0  -1  -2  -1  -2  -2  -1  -2  -1  -1  -2  -2  -1
 22  -1  -1  -1  -2  -2  -2  -1  -2  -1  -1  -2  -2  -2  -1  -2  -2  -1  -2  -1  -2  -2  -1  -1  -2  -1  +0
 23  +0  -2  -1  -1  -2  -2  -2  -1  -2  -2  -2  -1  -2  -1  -1  -2  -1  -2  -2  -1  -1  -1  -1  -1  -1  -1
 24  +0  -1  -1  -2  -1  -2  -2  -1  -2  -2  -2  -2  -2  -1  -2  -2  -2  -2  -1  -1  -1  -2  -1  -1  -1  +0
 25  -1  -1  -2  -2  +0  -2  -2  -1  -1  -1  -2  -2  -1  -1  -2  -2  -2  -2  +0  -1  -2  -2  -1  -2  -1  -1
 26  +0  -1  -1  -1  +0  -2  -2  -2  -1  -1  -2  -2  -2  -2  -2  -2  -1  -1  +0  -1  -1  -1  -1  -1  -2  -1
 27  -1  -2  -2  -2  -2  -2  -2  -2  -1  -1  -2  -1  -2  -2  -2  -2  -2  -2  -1  -1  -2  -1  -2  -1  -2  -1
